date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:37:23	343321/343321	---M-Z	200	added ('OK')	text/html	etag:%221693-1710378867;gz%22	https://bbs-esthetique.com/	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/index.html	(from )
23:37:24	113/113	---MCZ	200	added ('OK')	text/plain	etag:%221694-1710403002;gz%22	https://bbs-esthetique.com/robots.txt		(from )
23:37:24	54752/54752	---M-Z	200	added ('OK')	text/css	etag:%22d5e0-65e119fe-e691c7d640ea7dc6;gz%22	https://bbs-esthetique.com/wp-content/uploads/premium-addons-elementor/pa-frontend-5bd72b0c3.min.css?ver=1710378866	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/premium-addons-elementor/pa-frontend-5bd72b0c3.min64ed.css	(from https://bbs-esthetique.com/)
23:37:25	5756/5756	---M-Z	200	added ('OK')	text/css	etag:%22167c-65d013db-f9d9405113192404;gz%22	https://bbs-esthetique.com/wp-content/themes/hello-elementor/style.min.css?ver=3.0.1	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/themes/hello-elementor/style.min41fe.css	(from https://bbs-esthetique.com/)
23:37:25	5131/5131	---M-Z	200	added ('OK')	text/css	etag:%22140b-65d013db-103ad4e919263c02;gz%22	https://bbs-esthetique.com/wp-content/themes/hello-elementor/theme.min.css?ver=3.0.1	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/themes/hello-elementor/theme.min41fe.css	(from https://bbs-esthetique.com/)
23:37:25	7325/7325	---M-Z	200	added ('OK')	text/css	etag:%221c9d-65d013db-fa886acd0ac90419;gz%22	https://bbs-esthetique.com/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.0.1	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/themes/hello-elementor/header-footer.min41fe.css	(from https://bbs-esthetique.com/)
23:37:25	20999/20999	---MCZ	200	added ('OK')	application/rss+xml	etag:%22e5b208c9a59c709a22bc82274b00b88a%22	https://bbs-esthetique.com/feed/	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/feed/index.html	(from https://bbs-esthetique.com/)
23:37:25	118630/118630	---M-Z	200	added ('OK')	text/css	etag:%221cf66-65e01c69-abfc2db534cd2a86;gz%22	https://bbs-esthetique.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.19.4	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/plugins/elementor/assets/css/frontend-lite.min6e54.css	(from https://bbs-esthetique.com/)
23:37:25	725/725	---M-Z	200	added ('OK')	application/rss+xml	etag:%22e5b208c9a59c709a22bc82274b00b88a%22	https://bbs-esthetique.com/comments/feed/	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/comments/feed/index.html	(from https://bbs-esthetique.com/)
23:37:26	1804/1804	---M-Z	200	added ('OK')	text/css	etag:%2270c-65e01cc0-ee0d6ccb456fd726;gz%22	https://bbs-esthetique.com/wp-content/uploads/elementor/css/post-2185.css?ver=1709186240	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/elementor/css/post-21851d46.css	(from https://bbs-esthetique.com/)
23:37:26	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-65e01c69-d49e8c63e65b6ee5;gz%22	https://bbs-esthetique.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://bbs-esthetique.com/)
23:37:26	12014/12014	---M-Z	200	added ('OK')	text/css	etag:%222eee-65d946f0-bb939c89c1188d20;gz%22	https://bbs-esthetique.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.8.2	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min3fd0.css	(from https://bbs-esthetique.com/)
23:37:26	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-65e01c69-84aab51696179750;gz%22	https://bbs-esthetique.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.10.22	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.mind5d4.css	(from https://bbs-esthetique.com/)
23:37:26	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-65e01c69-5422c0d7aef517d6;gz%22	https://bbs-esthetique.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.19.4	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min6e54.css	(from https://bbs-esthetique.com/)
23:37:27	41037/41037	---M-Z	200	added ('OK')	text/css	etag:%22a04d-65e01cc1-792db9e96e83745b;gz%22	https://bbs-esthetique.com/wp-content/uploads/elementor/css/global.css?ver=1709186241	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/elementor/css/globalf3da.css	(from https://bbs-esthetique.com/)
23:37:27	239893/239893	---M-Z	200	added ('OK')	text/css	etag:%223a915-65e119eb-fb798145db709dea;gz%22	https://bbs-esthetique.com/wp-content/uploads/elementor/css/post-4550.css?ver=1709251051	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/elementor/css/post-45509085.css	(from https://bbs-esthetique.com/)
23:37:27	23917/23917	---M-Z	200	added ('OK')	text/css	etag:%225d6d-65e0e159-5d41aac298712eaf;gz%22	https://bbs-esthetique.com/wp-content/uploads/elementor/css/post-2743.css?ver=1709236569	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/elementor/css/post-2743f2d1.css	(from https://bbs-esthetique.com/)
23:37:27	26389/26389	---M-Z	200	added ('OK')	text/css	etag:%226715-65e0ec30-173fe3a064a0490b;gz%22	https://bbs-esthetique.com/wp-content/uploads/elementor/css/post-2790.css?ver=1709239344	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/elementor/css/post-2790f2a8.css	(from https://bbs-esthetique.com/)
23:37:28	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-65e907af-6d712015ca6b92ec;gz%22	https://bbs-esthetique.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://bbs-esthetique.com/)
23:37:28	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-65e907af-343515a56adc6373;gz%22	https://bbs-esthetique.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://bbs-esthetique.com/)
23:37:28	15055/15055	---M-Z	200	added ('OK')	application/x-javascript	etag:%223acf-65e01c69-a1ede5b1a415eef2;gz%22	https://bbs-esthetique.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.19.4	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min6e54.js	(from https://bbs-esthetique.com/)
23:37:29	253748/253748	---MCZ	200	added ('OK')	application/json	etag:%221702-1710563849;gz%22	https://bbs-esthetique.com/wp-json/wp/v2/pages/4550	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-json/wp/v2/pages/4550.json	(from https://bbs-esthetique.com/)
23:37:30	219565/219565	---MCZ	200	added ('OK')	application/json	etag:%221703-1710563849;gz%22	https://bbs-esthetique.com/wp-json/	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-json/index.html	(from https://bbs-esthetique.com/)
23:37:30	822/822	---M-Z	200	added ('OK')	text/xml	date:Sat,%2016%20Mar%202024%2004:37:30%20GMT	https://bbs-esthetique.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/xmlrpc0db0.php	(from https://bbs-esthetique.com/)
23:37:30	2079/2079	---M-Z	200	added ('OK')	application/json	etag:%221704-1710563850;gz%22	https://bbs-esthetique.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbbs-esthetique.com%2F	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-json/oembed/1.0/embed3960.json	(from https://bbs-esthetique.com/)
23:37:30	2240/2240	---M-Z	200	added ('OK')	text/xml	etag:%221705-1710563850;gz%22	https://bbs-esthetique.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbbs-esthetique.com%2F&format=xml	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-json/oembed/1.0/embed842d	(from https://bbs-esthetique.com/)
23:37:31	7366/7366	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Mar%202024%2004:37:31%20GMT	https://bbs-esthetique.com/wp-content/uploads/2024/02/logo-bbs-esthetique-morado-dorado-azul-7px-min.png	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/2024/02/logo-bbs-esthetique-morado-dorado-azul-7px-min.png	(from https://bbs-esthetique.com/)
23:37:31	9921/9921	---M-Z	200	added ('OK')	text/css	etag:%2226c1-65e01c69-39333b9841c816d7;gz%22	https://bbs-esthetique.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from https://bbs-esthetique.com/)
23:37:31	29503/29503	---M-Z	200	added ('OK')	text/css	etag:%22733f-65d946f0-946a6d74512d7b92;gz%22	https://bbs-esthetique.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	(from https://bbs-esthetique.com/)
23:37:31	12085/12085	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Mar%202024%2004:37:31%20GMT	https://bbs-esthetique.com/wp-content/uploads/2024/02/logo-bbs-esthetique-morado-blanco-azul-7px.png	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/2024/02/logo-bbs-esthetique-morado-blanco-azul-7px.png	(from https://bbs-esthetique.com/)
23:37:32	2212/2212	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Mar%202024%2004:37:31%20GMT	https://bbs-esthetique.com/wp-content/uploads/2024/02/transparente.png	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/2024/02/transparente.png	(from https://bbs-esthetique.com/)
23:37:32	39136/39136	---MCZ	200	added ('OK')	text/html	etag:%221700-1710547297;gz%22	https://bbs-esthetique.com/nosotros/	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/nosotros/index.html	(from https://bbs-esthetique.com/)
23:37:32	55528/55528	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Mar%202024%2004:37:32%20GMT	https://bbs-esthetique.com/wp-content/uploads/2024/02/doctor-cinta-metrica-que-mide-tamano-pecho-paciente.jpg	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/2024/02/doctor-cinta-metrica-que-mide-tamano-pecho-paciente.jpg	(from https://bbs-esthetique.com/)
23:37:32	121088/121088	---MCZ	200	added ('OK')	text/html	etag:%221696-1710468164;gz%22	https://bbs-esthetique.com/tours/	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/tours/index.html	(from https://bbs-esthetique.com/)
23:37:33	68670/68670	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Mar%202024%2004:37:32%20GMT	https://bbs-esthetique.com/wp-content/uploads/2024/02/mujer-marcada-cirugia-estetica-5.jpg	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/2024/02/mujer-marcada-cirugia-estetica-5.jpg	(from https://bbs-esthetique.com/)
23:37:33	121130/121130	---MCZ	200	added ('OK')	text/html	etag:%221699-1710546194;gz%22	https://bbs-esthetique.com/emprendamos/	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/emprendamos/index.html	(from https://bbs-esthetique.com/)
23:37:33	309881/309881	---MCZ	200	added ('OK')	text/html	etag:%221706-1710563853;gz%22	https://bbs-esthetique.com/inicio/	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/inicio/index.html	(from https://bbs-esthetique.com/)
23:37:33	37870/37870	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Mar%202024%2004:37:33%20GMT	https://bbs-esthetique.com/wp-content/uploads/2024/02/colocar-mujer-vestida-lenceria-blanca.jpg	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/2024/02/colocar-mujer-vestida-lenceria-blanca.jpg	(from https://bbs-esthetique.com/)
23:37:34	147310/147310	---MCZ	200	added ('OK')	text/html	etag:%221707-1710563853;gz%22	https://bbs-esthetique.com/cirugia-gratis/	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/cirugia-gratis/index.html	(from https://bbs-esthetique.com/)
23:37:34	48667/48667	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Mar%202024%2004:37:33%20GMT	https://bbs-esthetique.com/wp-content/uploads/2024/02/hombre-demuestra-sus-musculos-abdominales-aislado-blanco.jpg	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/2024/02/hombre-demuestra-sus-musculos-abdominales-aislado-blanco.jpg	(from https://bbs-esthetique.com/)
23:37:34	61443/61443	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Mar%202024%2004:37:34%20GMT	https://bbs-esthetique.com/wp-content/uploads/2024/02/Rinoplastia.jpg	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/2024/02/Rinoplastia.jpg	(from https://bbs-esthetique.com/)
23:37:34	123894/123894	---MCZ	200	added ('OK')	text/html	etag:%221697-1710536238;gz%22	https://bbs-esthetique.com/blog/	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/blog/index.html	(from https://bbs-esthetique.com/)
23:37:34	39486/39486	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Mar%202024%2004:37:34%20GMT	https://bbs-esthetique.com/wp-content/uploads/2024/02/Blefaroplastia-1.jpg	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/2024/02/Blefaroplastia-1.jpg	(from https://bbs-esthetique.com/)
23:37:34	29940/29940	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Mar%202024%2004:37:34%20GMT	https://bbs-esthetique.com/wp-content/uploads/2024/02/Bichectomia-1.jpg	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/2024/02/Bichectomia-1.jpg	(from https://bbs-esthetique.com/)
23:37:35	25265/25265	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Mar%202024%2004:37:34%20GMT	https://bbs-esthetique.com/wp-content/uploads/2024/02/Mentoplastia-1.jpg	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/2024/02/Mentoplastia-1.jpg	(from https://bbs-esthetique.com/)
23:37:35	6487/6487	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Mar%202024%2004:37:35%20GMT	https://bbs-esthetique.com/wp-content/uploads/2024/02/bandera-de-colombia.png	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/2024/02/bandera-de-colombia.png	(from https://bbs-esthetique.com/)
23:37:35	7716/7716	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Mar%202024%2004:37:35%20GMT	https://bbs-esthetique.com/wp-content/uploads/2024/02/bander-de-venezuela.png	C:/My%20Web%20Sites/Pagina/bbs-esthetique.com/wp-content/uploads/2024/02/bander-de-venezuela.png	(from https://bbs-esthetique.com/)
